"","variable.name","display.section","definition","code.list","lag","source","validity.years","notes","calculation","display.via.web"
"362","drtb_surv_new_prev","Strategy","Prevalence of MDR-TB (%) estimated using nationwide representative surveys of new TB cases",NA,0,"Strategy, Data collection form",NA,"NEW VARIABLE",NA,0
"363","drtb_surv_new_yr","Strategy","Year in which prevalence of MDR-TB was estimated using nationwide representative surveys of new TB cases",NA,0,"Strategy, Data collection form",NA,"NEW VARIABLE",NA,0
"364","drtb_surv_ret_cil","Strategy","Lower limit (95% confidence interval) of prevalence (%) of MDR-TB estimated using nationwide representative surveys of retreatment TB cases",NA,0,"Strategy, Data collection form",NA,"NEW VARIABLE",NA,0
"365","drtb_surv_ret_ciu","Strategy","Upper limit (95% confidence interval) of prevalence (%) of MDR-TB estimated using nationwide representative surveys of retreatment TB cases",NA,0,"Strategy, Data collection form",NA,"NEW VARIABLE",NA,0
"366","drtb_surv_ret_prev","Strategy","Prevalence of MDR-TB (%) estimated using nationwide representative surveys of retreatment TB cases",NA,0,"Strategy, Data collection form",NA,"NEW VARIABLE",NA,0
"367","drtb_surv_ret_yr","Strategy","Year in which prevalence of MDR-TB was estimated using nationwide representative surveys of retreatment TB cases",NA,0,"Strategy, Data collection form",NA,"NEW VARIABLE",NA,0
"368","drtb_surveil","Strategy","Was there a national surveillance system to measure the prevalence of drug resistance among TB cases?","0=No; 1=yes",0,"Strategy, Data collection form",NA,NA,NA,0
"369","dst","Laboratories","Number of sites providing phenotypic drug susceptibility testing for first-line drugs only at the end of the reporting year",NA,0,"Surveys and services, Data collection form","2015 - 2019","Dropped in 2021 dcyear",NA,1
"370","dst  (old version)","Notification","New and re-treatment patients who received diagnostic drug susceptibility testing (DST, including rapid tests)",NA,0,"Notification, Data collection form","Dropped 2009","Removed from views in Feb 2013; In 2010, disaggregated version collected by dr_surveillance",NA,0
"371","dst_bdq","Laboratories","Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for bedaquiline at the end of the reporting year",NA,0,"Surveys and services, Data collection","2020 -","Part of major revision of lab variables in dcyear 2021 (replaced the ""dst"" variable)",NA,1
"372","dst_bdq_eqa_pass","Laboratories","Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for bedaquiline that demonstrated proficiency by panel testing in the reporting year",NA,0,"Surveys and services, Data collection","2020 -","Part of major revision of lab variables in dcyear 2021",NA,1
"373","dst_eqa_pass","Laboratories","Number of sites providing phenotypic drug susceptibility testing for first-line drugs only that demonstrated proficiency by panel testing",NA,0,"Surveys and services, Data collection form","2015 - 2019","Dropped in 2021 dcyear",NA,1
"374","dst_impl","Strategy","Has conventional Drug Susceptibility Testing (DST) (solid or liquid methods) been implemented by public TB services for diagnosing TB?","0=No; 1=yes",0,"Strategy, Data collection form","2009 -","added in 2010 data collection form",NA,0
"375","dst_in_guide","Strategy","Is conventional Drug Susceptibility Testing (DST) (solid or liquid methods)  included in TB control guidelines for diagnosis?","0=No; 1=yes",0,"Strategy, Data collection form","2009 -","added in 2010 data collection form",NA,0
"376","dst_inh","Laboratories","Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for isoniazid at the end of the reporting year",NA,0,"Surveys and services, Data collection","2020 -","Part of major revision of lab variables in dcyear 2021 (replaced the ""dst"" variable)",NA,1
"377","dst_inh_eqa_pass","Laboratories","Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for isoniazid that demonstrated proficiency by panel testing in the reporting year",NA,0,"Surveys and services, Data collection","2020 -","Part of major revision of lab variables in dcyear 2021",NA,1
"378","dst_lzd","Laboratories","Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for linezolid at the end of the reporting year",NA,0,"Surveys and services, Data collection","2020 -","Part of major revision of lab variables in dcyear 2021 (replaced the ""dst"" variable)",NA,1
"379","dst_lzd_eqa_pass","Laboratories","Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for linezolid that demonstrated proficiency by panel testing in the reporting year",NA,0,"Surveys and services, Data collection","2020 -","Part of major revision of lab variables in dcyear 2021",NA,1
"380","dst_mdr","Notification","Confirmed MDR-TB cases among new and re-treatment patients who received diagnostic drug susceptibility testing (DST, including rapid tests)",NA,0,"Notification, Data collection form","Dropped 2009","Removed from views in Feb 2013; In 2010, disaggregated version collected by dr_surveillance",NA,0
"381","dst_mdr_sld","Notification","Confirmed MDR-TB cases started on treatment with second-line drugs",NA,0,"Notification, Data collection form","Dropped 2009","Removed from views in Feb 2013; In 2010, disaggregated version used = mdr_tx_glc + mdr_tx_not_glc",NA,0
"382","dst_mdr_sldst","Notification","MDR cases that  received 2nd-line DST",NA,0,"Notification, Data collection form","Dropped 2009","Removed from views in Feb 2013; In 2010, disaggregated version collected by dr_surveillance",NA,0
"383","dst_mdr_sldst_xdr","Notification","DR cases that  received 2nd-line DST found to have  XDR-TB",NA,0,"Notification, Data collection form","Dropped 2009","Removed from views in Feb 2013; In 2010, disaggregated version collected by dr_surveillance",NA,0
"384","dst_moxlev","Laboratories","Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for moxifloxacin and/or levofloxacin at the end of the reporting year",NA,0,"Surveys and services, Data collection","2020 -","Part of major revision of lab variables in dcyear 2021 (replaced the ""dst"" variable)",NA,1
"385","dst_moxlev_eqa_pass","Laboratories","Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for moxifloxacin and/or levofloxacin that demonstrated proficiency by panel testing in the reporting year",NA,0,"Surveys and services, Data collection","2020 -","Part of major revision of lab variables in dcyear 2021",NA,1
"386","dst_naat_pza","Laboratories","Number of sites providing TB diagnostic services using drug susceptibility testing for pyrazinamide at the end of the reporting year",NA,0,"Surveys and services, Data collection form","2021 -",NA,NA,1
"387","dst_pza","Laboratories","Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for pyrazinamide at the end of the reporting year",NA,0,"Surveys and services, Data collection","2020 -","Part of major revision of lab variables in dcyear 2021 (replaced the ""dst"" variable)",NA,1
"388","dst_pza_eqa_pass","Laboratories","Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for pyrazinamide that demonstrated proficiency by panel testing in the reporting year",NA,0,"Surveys and services, Data collection","2020 -","Part of major revision of lab variables in dcyear 2021",NA,1
"389","dst_rif","Laboratories","Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for rifampicin at the end of the reporting year",NA,0,"Surveys and services, Data collection","2020 -","Part of major revision of lab variables in dcyear 2021 (replaced the ""dst"" variable)",NA,1
"390","dst_rif_eqa_pass","Laboratories","Number of sites providing TB diagnostic services using phenotypic drug susceptibility testing for rifampicin that demonstrated proficiency by panel testing in the reporting year",NA,0,"Surveys and services, Data collection","2020 -","Part of major revision of lab variables in dcyear 2021",NA,1
"391","dst_rlt_hr_new","Drug resistance surveillance","Number of new bacteriologically confirmed pulmonary TB patients with test results for rifampicin and isoniazid and with resistance to isoniazid (regardless of result for rifampicin)",NA,0,"DR surveillance data collection form","2017 -","Introduced 2018 data collection year as part of reorganisation of the routine drug surveillance section.  Denominator is dst_rlt_new.",NA,1
"392","dst_rlt_hr_ret","Drug resistance surveillance","Number of previously treated bacteriologically confirmed pulmonary TB patients with test results for rifampicin and isoniazid and with resistance to isoniazid (regardless of result for rifampicin)",NA,0,"DR surveillance data collection form","2017 -","Introduced 2018 data collection year as part of reorganisation of the routine drug surveillance section. Denominator is dst_rlt_ret.",NA,1
"393","dst_rlt_new","Drug resistance surveillance","Drug resistance surveillance: Among new pulmonary TB patients with positive identification for M. Tuberculosis complex (confirmed by culture and/or line-probe assay): number of patients with available drug susceptibility testing results for isoniazid and rifampicin",NA,0,"DR surveillance data collection form","1999 -","In 2018 data collection year became ""Number of new bacteriologically confirmed pulmonary TB patients with test results for rifampicin and isoniazid"";  switched from notification to DR surveilance csv files 2018 dcyear",NA,1
"394","dst_rlt_ret","Drug resistance surveillance","Drug resistance surveillance: Among patients previously treated for TB with positive identification for M. Tuberculosis complex (confirmed by culture and/or line-probe assay): number of patients with available drug susceptibility testing results for isoniazid and rifampicin",NA,0,"DR surveillance data collection form","1999 -","In 2018 data collection year became ""Number of previously treated bacteriologically confirmed pulmonary TB patients with test results for rifampicin and isoniazid""; switched from notification to DR surveilance csv files 2018 dcyear",NA,1
"395","dst_rlt_rr_new","Drug resistance surveillance","Number of new bacteriologically confirmed pulmonary TB patients with test results for rifampicin and isoniazid and with resistance to rifampicin (regardless of result for isoniazid)",NA,0,"DR surveillance data collection form","2017 -","Introduced 2018 data collection year as part of reorganisation of the routine drug surveillance section.  Denominator is dst_rlt_new.",NA,1
"396","dst_rlt_rr_ret","Drug resistance surveillance","Number of previously treated bacteriologically confirmed pulmonary TB patients with test results for rifampicin and isoniazid and with resistance to rifampicin (regardless of result for isoniazid)",NA,0,"DR surveillance data collection form","2017 -","Introduced 2018 data collection year as part of reorganisation of the routine drug surveillance section.  Denominator is dst_rlt_ret.",NA,1
"397","dst_rlt_unk","Notification","Drug resistance surveillance: Among patients with unknown TB treatment history with positive identification for M. Tuberculosis complex (confirmed by culture and/or line-probe assay): number of patients with available drug susceptibility testing results for isoniazid and rifampicin",NA,0,"DR surveillance data collection form","1999 - 2014","Dropped 2016 data collection year -- ignoring cases with unknown previous treatment history; dropped from public csv files 2018 dcyear (now have a separete dr surveillance file)",NA,0
"398","dx_alg_tbhiv_impl","Strategy","Has an algorithm for the diagnosis of TB in HIV-positive people, which includes use of all investigations at the same time including CXR, culture (when available) and no use of an antibiotic trial been implemented by public TB services for diagnosing TB?","0=No; 1=yes",0,"Strategy, Data collection form",NA,"NEW VARIABLE",NA,0
"399","dx_alg_tbhiv_in_guide","Strategy","Is an algorithm for the diagnosis of TB in HIV-positive people, which includes use of all investigations at the same time including CXR, culture (when available) and no use of an antibiotic trial included in TB control guidelines for diagnosis?","0=No; 1=yes",0,"Strategy, Data collection form",NA,"NEW VARIABLE",NA,0
"400","dx_test_sites","Laboratories","Total number of sites providing laboratory diagnostic testing for TB at the end of the reporting year",NA,0,"Surveys and services, Data collection","2020 -","Part of major revision of lab variables in dcyear 2021",NA,1
"401","e_gp_art_num","Estimates","Estimated number of patients on ART for Global Plan",NA,0,"WHO STB TME",NA,NA,NA,0
"402","e_gp_mdr_num","Estimates","Estimated MDR cases for Global Plan",NA,0,"WHO STB TME",NA,NA,NA,0
"403","e_gp_plwh_ipt_num","Estimates","Estimated number of people living with HIV who were on IPT for Global Plan",NA,0,"WHO STB TME",NA,NA,NA,0
"404","e_gp_plwh_tbscreen_num","Estimates","Estimated number of people living with HIV who were screened for TB for Global Plan",NA,0,"WHO STB TME",NA,NA,NA,0
"405","e_gp_snep_num","Estimates","Estimated smear negative/extrapulmonary cases for Global Plan",NA,0,"WHO STB TME",NA,NA,NA,0
"406","e_gp_sp_num","Estimates","Estimated smear positive cases for Global Plan",NA,0,"WHO STB TME",NA,NA,NA,0
"407","e_gp_sp_txsuc_num","Estimates","Estimated number of smear positive cases treated successfully, for Global Plan",NA,-1,"WHO STB TME",NA,NA,NA,0
"408","e_gp_tb_cpt_num","Estimates","Estimated TB cases who were on CPT for Global Plan",NA,0,"WHO STB TME",NA,NA,NA,0
"409","e_gp_tb_hivcare_num","Estimates","Estimated TB cases who were on HIV care for Global Plan",NA,0,"WHO STB TME",NA,NA,NA,0
"410","e_gp_tb_hivprevent_num","Estimates","Estimated TB cases who were on HIV prevention for Global Plan",NA,0,"WHO STB TME",NA,NA,NA,0
"411","e_gp_tb_hivtest_num","Estimates","Estimated TB cases who had an HIV test for Global Plan",NA,0,"WHO STB TME",NA,NA,NA,0
"412","e_hh_size","Latent TB infection estimates","Estimated average household size",NA,NA,"WHO GTB","2015 -",NA,NA,1
"413","e_inc_100k","Estimates","Estimated incidence (all forms) per 100 000 population",NA,0,"WHO STB TME",NA,NA,NA,1
"414","e_inc_100k_hi","Estimates","Estimated incidence (all forms) per 100 000 population, high bound",NA,0,"WHO STB TME",NA,NA,NA,1
"415","e_inc_100k_lo","Estimates","Estimated incidence (all forms) per 100 000 population, low bound",NA,0,"WHO STB TME",NA,NA,NA,1
"416","e_inc_acq_mdr_100k","Estimates","Estimated rate of acquired MDR-TB cases per 100 000 population",NA,NA,"WHO STB TME",NA,NA,NA,0
"417","e_inc_acq_mdr_num","Estimates","Estimated number of acquired MDR-TB cases",NA,NA,"WHO STB TME",NA,NA,NA,0
"418","e_inc_f04_num","Estimates","Estimated number of incident cases that are female, age 0 - 4",NA,0,"WHO STB TME",NA,NA,NA,0
"419","e_inc_f04_num_hi","Estimates","Estimated number of incident cases that are female, age 0 - 4 (upper bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"420","e_inc_f04_num_lo","Estimates","Estimated number of incident cases that are female, age 0 - 4 (lower bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"421","e_inc_f1524_num","Estimates","Estimated number of incident cases that are female, age 15 - 24",NA,0,"WHO STB TME",NA,NA,NA,0
"422","e_inc_f1524_num_hi","Estimates","Estimated number of incident cases that are female, age 15 - 24 (upper bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"423","e_inc_f1524_num_lo","Estimates","Estimated number of incident cases that are female, age 15 - 24 (lower bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"424","e_inc_f2534_num","Estimates","Estimated number of incident cases that are female, age 25 - 34",NA,0,"WHO STB TME",NA,NA,NA,0
"425","e_inc_f2534_num_hi","Estimates","Estimated number of incident cases that are female, age 25 - 34 (upper bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"426","e_inc_f2534_num_lo","Estimates","Estimated number of incident cases that are female, age 25 - 34 (lower bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"427","e_inc_f3544_num","Estimates","Estimated number of incident cases that are female, age 35 - 44",NA,0,"WHO STB TME",NA,NA,NA,0
"428","e_inc_f3544_num_hi","Estimates","Estimated number of incident cases that are female, age 35 - 44 (upper bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"429","e_inc_f3544_num_lo","Estimates","Estimated number of incident cases that are female, age 35 - 44 (lower bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"430","e_inc_f4554_num","Estimates","Estimated number of incident cases that are female, age 45 - 54",NA,0,"WHO STB TME",NA,NA,NA,0
"431","e_inc_f4554_num_hi","Estimates","Estimated number of incident cases that are female, age 45 - 54 (upper bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"432","e_inc_f4554_num_lo","Estimates","Estimated number of incident cases that are female, age 45 - 54 (lower bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"433","e_inc_f514_num","Estimates","Estimated number of incident cases that are female, age 5 - 14",NA,0,"WHO STB TME",NA,NA,NA,0
"434","e_inc_f514_num_hi","Estimates","Estimated number of incident cases that are female, age 5 - 14 (upper bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"435","e_inc_f514_num_lo","Estimates","Estimated number of incident cases that are female, age 5 - 14 (lower bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"436","e_inc_f5564_num","Estimates","Estimated number of incident cases that are female, age 55 - 64",NA,0,"WHO STB TME",NA,NA,NA,0
"437","e_inc_f5564_num_hi","Estimates","Estimated number of incident cases that are female, age 55 - 64 (upper bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"438","e_inc_f5564_num_lo","Estimates","Estimated number of incident cases that are female, age 55 - 64 (lower bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"439","e_inc_f65_num","Estimates","Estimated number of incident cases that are female, age 65+",NA,0,"WHO STB TME",NA,NA,NA,0
"440","e_inc_f65_num_hi","Estimates","Estimated number of incident cases that are female, age 65+ (upper bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"441","e_inc_f65_num_lo","Estimates","Estimated number of incident cases that are female, age 65+ (lower bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"442","e_inc_m04_num","Estimates","Estimated number of incident cases that are male, age 0 - 4",NA,0,"WHO STB TME",NA,NA,NA,0
"443","e_inc_m04_num_hi","Estimates","Estimated number of incident cases that are male, age 0 - 4 (upper bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"444","e_inc_m04_num_lo","Estimates","Estimated number of incident cases that are male, age 0 - 4 (lower bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"445","e_inc_m1524_num","Estimates","Estimated number of incident cases that are male, age 15 - 24",NA,0,"WHO STB TME",NA,NA,NA,0
"446","e_inc_m1524_num_hi","Estimates","Estimated number of incident cases that are male, age 15 - 24 (upper bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"447","e_inc_m1524_num_lo","Estimates","Estimated number of incident cases that are male, age 15 - 24 (lower bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"448","e_inc_m2534_num","Estimates","Estimated number of incident cases that are male, age 25 - 34",NA,0,"WHO STB TME",NA,NA,NA,0
"449","e_inc_m2534_num_hi","Estimates","Estimated number of incident cases that are male, age 25 - 34 (upper bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"450","e_inc_m2534_num_lo","Estimates","Estimated number of incident cases that are male, age 25 - 34 (lower bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"451","e_inc_m3544_num","Estimates","Estimated number of incident cases that are male, age 35 - 44",NA,0,"WHO STB TME",NA,NA,NA,0
"452","e_inc_m3544_num_hi","Estimates","Estimated number of incident cases that are male, age 35 - 44 (upper bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"453","e_inc_m3544_num_lo","Estimates","Estimated number of incident cases that are male, age 35 - 44 (lower bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"454","e_inc_m4554_num","Estimates","Estimated number of incident cases that are male, age 45 - 54",NA,0,"WHO STB TME",NA,NA,NA,0
"455","e_inc_m4554_num_hi","Estimates","Estimated number of incident cases that are male, age 45 - 54 (upper bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"456","e_inc_m4554_num_lo","Estimates","Estimated number of incident cases that are male, age 45 - 54 (lower bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"457","e_inc_m514_num","Estimates","Estimated number of incident cases that are male, age 5 - 14",NA,0,"WHO STB TME",NA,NA,NA,0
"458","e_inc_m514_num_hi","Estimates","Estimated number of incident cases that are male, age 5 - 14 (upper bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"459","e_inc_m514_num_lo","Estimates","Estimated number of incident cases that are male, age 5 - 14 (lower bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"460","e_inc_m5564_num","Estimates","Estimated number of incident cases that are male, age 55 - 64",NA,0,"WHO STB TME",NA,NA,NA,0
"461","e_inc_m5564_num_hi","Estimates","Estimated number of incident cases that are male, age 55 - 64 (upper bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"462","e_inc_m5564_num_lo","Estimates","Estimated number of incident cases that are male, age 55 - 64 (lower bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"463","e_inc_m65_num","Estimates","Estimated number of incident cases that are male, age 65+",NA,0,"WHO STB TME",NA,NA,NA,0
"464","e_inc_m65_num_hi","Estimates","Estimated number of incident cases that are male, age 65+ (upper bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"465","e_inc_m65_num_lo","Estimates","Estimated number of incident cases that are male, age 65+ (lower bound)",NA,0,"WHO STB TME",NA,NA,NA,0
"466","e_inc_mdr_100k","Estimates","Estimated rate of MDR-TB among incident new and relapse TB cases per 100 000 population",NA,NA,"WHO STB TME",NA,NA,NA,0
"467","e_inc_mdr_num","Estimates","Estimated number of MDR-TB among incident new and relapse TB cases",NA,NA,"WHO STB TME",NA,NA,NA,0
"468","e_inc_mdr_tot_num","Estimates","Estimated number of MDR-TB among incident total cases",NA,NA,"WHO STB TME",NA,NA,NA,0
"469","e_inc_num","Estimates","Estimated number of incident cases (all forms)",NA,0,"WHO STB TME",NA,NA,"e_inc_100k * e_pop_num / 100000",1
"470","e_inc_num_014","Estimates","Estimated number of incident cases that are aged 0 - 14",NA,0,"GTB","2015 - 2016",NA,NA,0
"471","e_inc_num_014_hi","Estimates","Estimated number of incident cases that are male 0 - 14 (upper bound)",NA,0,"GTB","2015 - 2016",NA,NA,0
"472","e_inc_num_014_lo","Estimates","Estimated number of incident cases that are aged 0 - 14 (lower bound)",NA,0,"GTB","2015 - 2016",NA,NA,0
"473","e_inc_num_15plus","Estimates","Estimated number of incident cases that are aged 15 and over",NA,0,"GTB","2015 - 2016",NA,NA,0
"474","e_inc_num_15plus_hi","Estimates","Estimated number of incident cases that are aged 15 and over (upper bound)",NA,0,"GTB","2015 - 2016",NA,NA,0
"475","e_inc_num_15plus_lo","Estimates","Estimated number of incident cases that are aged 15 and over (lower bound)",NA,0,"GTB","2015 - 2016",NA,NA,0
"476","e_inc_num_f","Estimates","Estimated number of incident cases that are female",NA,0,"WHO STB TME","2015 - 2016",NA,NA,0
"477","e_inc_num_f_hi","Estimates","Estimated number of incident cases that are female (upper bound)",NA,0,"WHO STB TME","2015 - 2016",NA,NA,0
"478","e_inc_num_f_lo","Estimates","Estimated number of incident cases that are female (lower bound)",NA,0,"WHO STB TME","2015 - 2016",NA,NA,0
"479","e_inc_num_f014","Estimates","Estimated number of incident cases that are female aged 0 - 14",NA,0,"GTB","2015 - 2016",NA,NA,0
"480","e_inc_num_f014_hi","Estimates","Estimated number of incident cases that are female aged 0 - 14 (upper bound)",NA,0,"GTB","2015 - 2016",NA,NA,0
"481","e_inc_num_f014_lo","Estimates","Estimated number of incident cases that are female aged 0 - 14 (lower bound)",NA,0,"GTB","2015 - 2016",NA,NA,0
"482","e_inc_num_f15plus","Estimates","Estimated number of incident cases that are female aged 15 and over",NA,0,"GTB","2015 - 2016",NA,NA,0
"483","e_inc_num_f15plus_hi","Estimates","Estimated number of incident cases that are female aged 15 and over (upper bound)",NA,0,"GTB","2015 - 2016",NA,NA,0
"484","e_inc_num_f15plus_lo","Estimates","Estimated number of incident cases that are female aged 15 and over (lower bound)",NA,0,"GTB","2015 - 2016",NA,NA,0
"485","e_inc_num_hi","Estimates","Estimated number of incident cases (all forms), high bound",NA,0,"WHO STB TME",NA,NA,"e_inc_100k_hi * e_pop_num / 100000",1
"486","e_inc_num_lo","Estimates","Estimated number of incident cases (all forms), low bound",NA,0,"WHO STB TME",NA,NA,"e_inc_100k_lo * e_pop_num / 100000",1
"487","e_inc_num_m","Estimates","Estimated number of incident cases that are male",NA,0,"WHO STB TME","2015 - 2016",NA,NA,0
"488","e_inc_num_m_hi","Estimates","Estimated number of incident cases that are male (upper bound)",NA,0,"WHO STB TME","2015 - 2016",NA,NA,0
"489","e_inc_num_m_lo","Estimates","Estimated number of incident cases that are male (lower bound)",NA,0,"WHO STB TME","2015 - 2016",NA,NA,0
"490","e_inc_num_m014","Estimates","Estimated number of incident cases that are male aged 0 - 14",NA,0,"GTB","2015 - 2016",NA,NA,0
"491","e_inc_num_m014_hi","Estimates","Estimated number of incident cases that are male aged 0 - 14 (upper bound)",NA,0,"GTB","2015 - 2016",NA,NA,0
"492","e_inc_num_m014_lo","Estimates","Estimated number of incident cases that are male aged 0 - 14 (lower bound)",NA,0,"GTB","2015 - 2016",NA,NA,0
"493","e_inc_num_m15plus","Estimates","Estimated number of incident cases that are male aged 15 and over",NA,0,"GTB","2015 - 2016",NA,NA,0
"494","e_inc_num_m15plus_hi","Estimates","Estimated number of incident cases that are male aged 15 and over (upper bound)",NA,0,"GTB","2015 - 2016",NA,NA,0
"495","e_inc_num_m15plus_lo","Estimates","Estimated number of incident cases that are male aged 15 and over (lower bound)",NA,0,"GTB","2015 - 2016",NA,NA,0
"496","e_inc_num_sp","Estimates","Estimated number of incident cases (smear pos)",NA,0,"WHO STB TME",NA,NA,"e_inc_sp_100k * e_pop_num / 100000",0
"497","e_inc_num_sp_hi","Estimates","Estimated number of incident cases (smear pos), high bound",NA,0,"WHO STB TME",NA,NA,"e_inc_sp_100k_hi * e_pop_num / 100000",0
"498","e_inc_num_sp_lo","Estimates","Estimated number of incident cases (smear pos), low bound",NA,0,"WHO STB TME",NA,NA,"e_inc_sp_100k_lo * e_pop_num / 100000",0
"499","e_inc_rr_num","Estimates","Estimated incidence of rifampicin resistant TB (absolute number)",NA,0,"WHO GTB","2015 - 2019","Insructed to remove this in dcyear 2021",NA,0
"500","e_inc_rr_num_hi","Estimates","Estimated incidence of rifampicin resistant TB (absolute number): high bound",NA,0,"WHO GTB","2015 - 2019","Insructed to remove this in dcyear 2021",NA,0
"501","e_inc_rr_num_lo","Estimates","Estimated incidence of rifampicin resistant TB (absolute number): low bound",NA,0,"WHO GTB","2015 - 2019","Insructed to remove this in dcyear 2021",NA,0
"502","e_inc_sp_100k","Estimates","Estimated incidence (new smear-positive cases) per 100 000 population",NA,0,"WHO STB TME",NA,NA,NA,0
"503","e_inc_sp_100k_hi","Estimates","Estimated incidence (new smear-positive cases) per 100 000 population, high bound",NA,0,"WHO STB TME",NA,NA,NA,0
"504","e_inc_sp_100k_lo","Estimates","Estimated incidence (new smear-positive cases) per 100 000 population, low bound",NA,0,"WHO STB TME",NA,NA,NA,0
"505","e_inc_sp_num","Estimates","Estimated number of incident cases (new smear-positive cases)",NA,NA,"WHO STB TME",NA,NA,NA,0
"506","e_inc_sp_num_hi","Estimates","Estimated number of incident cases (new smear-positive cases), high bound",NA,NA,"WHO STB TME",NA,NA,NA,0
"507","e_inc_sp_num_lo","Estimates","Estimated number of incident cases (new smear-positive cases), low bound",NA,NA,"WHO STB TME",NA,NA,NA,0
"508","e_inc_tbhiv_100k","Estimates","Estimated incidence of TB cases who are HIV-positive per 100 000 population",NA,0,"WHO STB TME",NA,NA,NA,1
"509","e_inc_tbhiv_100k_hi","Estimates","Estimated incidence of TB cases who are HIV-positive per 100 000 population, high bound",NA,0,"WHO STB TME",NA,NA,NA,1
"510","e_inc_tbhiv_100k_lo","Estimates","Estimated incidence of TB cases who are HIV-positive per 100 000 population, low bound",NA,0,"WHO STB TME",NA,NA,NA,1
"511","e_inc_tbhiv_num","Estimates","Estimated incidence of TB cases who are HIV-positive",NA,0,"WHO STB TME",NA,NA,NA,1
"512","e_inc_tbhiv_num_hi","Estimates","Estimated incidence of TB cases who are HIV-positive, high bound",NA,0,"WHO STB TME",NA,NA,NA,1
"513","e_inc_tbhiv_num_lo","Estimates","Estimated incidence of TB cases who are HIV-positive, low bound",NA,0,"WHO STB TME",NA,NA,NA,1
"514","e_mdr_new_num"," [deprecated variable]","Estimated MDR among new cases, number  [deprecated variable]",NA,0,"WHO STB TME","Dropped 2010",NA,NA,0
"515","e_mdr_new_prct"," [deprecated variable]","Estimated MDR among new cases, percent  [deprecated variable]",NA,0,"WHO STB TME","Dropped 2010",NA,NA,0
"516","e_mdr_newret_num"," [deprecated variable]","Estimated MDR among new and retreatment cases, number  [deprecated variable]",NA,0,"WHO STB TME","Dropped 2010",NA,NA,0
"517","e_mdr_newret_prct"," [deprecated variable]","Estimated MDR among new and retreatment cases, percent  [deprecated variable]",NA,0,"WHO STB TME","Dropped 2010",NA,NA,0
"518","e_mdr_num","Estimates","Estimated number of MDR-TB cases among all notified pulmonary TB cases",NA,0,"WHO STB TME","2011-",NA," e_new_mdr_prop * (c_new - new_ep)  +   e_ret_mdr_prop * (c_ret)",0
"519","e_mdr_num_hi","Estimates","Estimated number of MDR-TB cases among all notified pulmonary TB cases: high bound",NA,0,"WHO STB TME","2011-",NA,"(use a normal approximation to calculate bounds ….)",0
"520","e_mdr_num_lo","Estimates","Estimated number of MDR-TB cases among all notified pulmonary TB cases: low bound",NA,0,"WHO STB TME","2011-",NA,"(use a normal approximation to calculate bounds ….)",0
"521","e_mdr_pct_rr","Estimates","Estimated percentage of rifampicin resistant TB cases that have MDR-TB",NA,0,"WHO GTB","2017 - 2019",NA,NA,0
"522","e_mdr_pct_rr_new","Estimates","Estimated percentage of new rifampicin resistant TB cases that have MDR-TB",NA,0,"WHO GTB","2015 - 2019",NA,NA,0
